# slice R smoke — rungs 40+44 TwoSpoolTransient — key	u64 bits (or an integer)	repr
F/7/pi_lpc	4612343450229945964	2.2919583697283112
F/7/pi_hpc	4616683424545833808	4.43858826888102
F/7/phi_lp	4605497222031399734	0.8129055746456746
F/7/phi_hp	4606703720372088879	0.9468537983461881
F/7/mdot_air	4604076682557746380	0.6551940115417891
F/7/f	4581333741335869698	0.01969438475998065
F/7/Phi_lp	4579551618087914420	0.014568201344678268
F/7/Phi_hp	4578268622067742579	0.012342558028901362
F/7/sp_thrust	4647776591844546259	519.0231633565512
F/8/s	4600877379321698713	0.39999999999999997
F/8/nu_lp	4605441877135847527	0.8067610569119211
F/8/nu_hp	4605704821941208594	0.8359537946236648
F/8/Tt4	4652728588469010432	1140.0
F/8/slip	4606867874136123106	0.9650785271871565
F/8/pi_lpc	4612350559269246895	2.2951154173742547
F/8/pi_hpc	4616693798176294233	4.447801903589913
F/8/phi_lp	4605498397529649533	0.8130360811679079
F/8/phi_hp	4606698444812775093	0.946268093604394
F/8/mdot_air	4604083274355903390	0.6559258481505486
F/8/f	4581373712389380077	0.01983306220974861
F/8/Phi_lp	4580340291366959790	0.016247662793427757
F/8/Phi_hp	4579108934581955650	0.01380026787446387
F/8/sp_thrust	4647798068955394850	521.4648281723241
F/9/s	4601778099247172812	0.44999999999999996
F/9/nu_lp	4605449556971711919	0.8076136899721201
F/9/nu_hp	4605711353068549064	0.8366788954186797
F/9/Tt4	4652750578701565952	1145.0
F/9/slip	4606869519671964058	0.9652612183650036
F/9/pi_lpc	4612358265870088834	2.2985378356527812
