# phase-5K two-spool matcher oracle — key	u64 bits	repr
# cpython 3.14.3
r38/cpg/0.50/1500/tau_lpt	4606513284257310085	0.9257111424114305
r38/cpg/0.50/1500/pi_lpt	4604376207078889679	0.6884479135231006
r38/cpg/0.50/1500/mdot_air	4606076268164462690	0.8771926095703402
r38/cpg/0.50/1500/mdot_ratio	4606076268164462690	0.8771926095703402
r38/cpg/0.50/1500/thrust	4649598110172185371	726.1058218778084
r38/cpg/0.50/1500/V0	4639778685815524299	158.4416296305993
r38/cpg/0.50/1500/V9	4648603661270833835	613.0500710074169
r38/cpg/0.50/1500/M9	4607182418800017406	0.9999999999999998
r38/cpg/0.50/1500/T9	4652105052426895752	1011.1121591665296
r38/cpg/0.50/1500/p9	4685665218791666699	186998.1047267023
r38/cpg/0.50/1500/F_over_mdot	4650492278476739488	827.7609888134648
r38/cpg/0.50/1500/tsfc	4540270682082813296	3.4869685540182545e-05
r38/cpg/0.50/1500/eta_th	4594440571774882015	0.14634270141107827
r38/cpg/0.50/1500/eta_p	4604709476417938338	0.7254482428844435
r38/cpg/0.50/1500/s2/Tt	4643325565028270080	262.5
r38/cpg/0.50/1500/s2/pt	4678139857026256349	57531.31294515331
r38/cpg/0.50/1500/s25/Tt	4645389023970447495	379.7940609522706
r38/cpg/0.50/1500/s25/pt	4685692630855090813	187795.90077306694
r38/cpg/0.50/1500/s3/Tt	4649248698483552615	686.3823119341804
r38/cpg/0.50/1500/s3/pt	4698028807803199807	1228879.2252407817
r38/cpg/0.50/1500/s4/Tt	4654311885213007872	1500.0
r38/cpg/0.50/1500/s4/pt	4697817687959874088	1179724.0562311504
r38/cpg/0.50/1500/s45/Tt	4653239169443246811	1256.0926727235117
r38/cpg/0.50/1500/s45/pt	4692468982791841390	507883.3973108296
r38/cpg/0.50/1500/s5/Tt	4652828771495902638	1162.778983041509
r38/cpg/0.50/1500/s5/pt	4689750575461328728	349651.26519166445
r38/cpg/0.50/1500/s9/Tt	4652828771495902638	1162.778983041509
r38/cpg/0.50/1500/s9/pt	4689630436201408470	342658.23988783115
r38/cpg/0.50/1500/s4/far	4583976635361735184	0.028863765382356077
r38/cpg/0.85/400/abort	4620693217682128896	8.0
r38/cpg/0.85/500/abort	4620693217682128896	8.0
r38/cpg/0.85/600/abort	4620693217682128896	8.0
r38/cpg/0.85/650/abort	0	0.0
r38/cpg/0.85/650/n_pass	4619567317775286272	7.0
r38/cpg/0.85/650/pi_lpc	4610173793037156274	1.6642185106684164
r38/cpg/0.85/650/pi_hpc	4613470850028343085	2.7926244553836086
r38/cpg/0.85/650/tau_lpc	4607966308588431559	1.1740584983731865
r38/cpg/0.85/650/tau_hpc	4608927616997302755	1.3875118442321017
r38/cpg/0.85/650/tau_hpt	4605717804202370308	0.837395115149008
r38/cpg/0.85/650/pi_hpt	4601427004634511389	0.4305103338600718
r38/cpg/0.85/650/tau_lpt	4606513284257310084	0.9257111424114304
r38/cpg/0.85/650/pi_lpt	4604376207078889679	0.6884479135231006
r38/cpg/0.85/650/mdot_air	4600878735286526533	0.40007527116862135
r38/cpg/0.85/650/mdot_ratio	4600878735286526533	0.40007527116862135
r38/cpg/0.85/650/thrust	4634373486089441491	66.4083068012872
r38/cpg/0.85/650/V0	4643446085055202208	269.3507703720188
r38/cpg/0.85/650/V9	4645807100523735812	403.55896158672135
r38/cpg/0.85/650/M9	4607182418800017404	0.9999999999999996
r38/cpg/0.85/650/T9	4646415607918470007	438.14860230549624
r38/cpg/0.85/650/p9	4677793439581894029	55010.794303159324
r38/cpg/0.85/650/F_over_mdot	4640044254001212620	165.98953143819233
r38/cpg/0.85/650/tsfc	4542340985116105262	4.889860458017304e-05
r38/cpg/0.85/650/eta_th	4593919680829053174	0.1318850733766294
r38/cpg/0.85/650/eta_p	4606964880272881561	0.9758483718430738
r38/cpg/0.85/650/s2/Tt	4643741180423569407	286.12499999999994
r38/cpg/0.85/650/s2/pt	4680081772134739219	77785.20992963416
r38/cpg/0.85/650/s25/Tt	4644617315055249090	335.9274878470279
r38/cpg/0.85/650/s25/pt	4683632258478335806	129451.58622112588
r38/cpg/0.85/650/s3/Tt	4646907393360753888	466.1033681908866
r38/cpg/0.85/650/s3/pt	4689954301226830289	361509.6654693159
r38/cpg/0.85/650/s4/Tt	4648928676283416576	650.0
r38/cpg/0.85/650/s4/pt	4689705873676369711	347049.27885054325
r38/cpg/0.85/650/s45/Tt	4647998989282956991	544.3068248468552
r38/cpg/0.85/650/s45/pt	4684373642967008860	149408.30090384453
r38/cpg/0.85/650/s5/Tt	4647571806677498876	503.8708926513207
r38/cpg/0.85/650/s5/pt	4681804887112881058	102859.8330202834
r38/cpg/0.85/650/s9/Tt	4647571806677498876	503.8708926513207
r38/cpg/0.85/650/s9/pt	4681663517634834934	100802.63635987774
r38/cpg/0.85/650/s4/far	4575832555671467272	0.008116656462244368
r38/cpg/0.85/900/abort	0	0.0
r38/cpg/0.85/900/n_pass	4620693217682128896	8.0
r38/cpg/0.85/900/pi_lpc	4611664016193012282	1.995114522560597
r38/cpg/0.85/900/pi_hpc	4615424594134827241	3.660261131881374
r38/cpg/0.85/900/tau_lpc	4608274102010266154	1.2424023671229727
r38/cpg/0.85/900/tau_hpc	4609479169440066406	1.5099810884809926
r38/cpg/0.85/900/tau_hpt	4605717804202370307	0.8373951151490079
r38/cpg/0.85/900/pi_hpt	4601427004634511389	0.4305103338600718
r38/cpg/0.85/900/tau_lpt	4606513284257310084	0.9257111424114304
r38/cpg/0.85/900/pi_lpt	4604376207078889679	0.6884479135231006
r38/cpg/0.85/900/mdot_air	4602959442888247405	0.5311554910315529
r38/cpg/0.85/900/mdot_ratio	4602959442888247405	0.5311554910315529
r38/cpg/0.85/900/thrust	4641086628205513092	195.61558819056893
r38/cpg/0.85/900/V0	4643446085055202208	269.3507703720188
r38/cpg/0.85/900/V9	4647061556763753479	474.8665430805999
r38/cpg/0.85/900/M9	4607182418800017403	0.9999999999999994
r38/cpg/0.85/900/T9	4648547517783730003	606.6672954999179
r38/cpg/0.85/900/p9	4680676390364007498	86438.04399518776
r38/cpg/0.85/900/F_over_mdot	4645186520916765883	368.28309505125407
r38/cpg/0.85/900/tsfc	4540720988994870110	3.7921083867290274e-05
r38/cpg/0.85/900/eta_th	4593872480455417545	0.13057499983709978
r38/cpg/0.85/900/eta_p	4608402737807097368	1.2709652518095762
r38/cpg/0.85/900/s2/Tt	4643741180423569407	286.12499999999994
r38/cpg/0.85/900/s2/pt	4680081772134739219	77785.20992963416
r38/cpg/0.85/900/s25/Tt	4644961328308461682	355.4823772930605
r38/cpg/0.85/900/s25/pt	4684572314446894957	155190.40197103788
r38/cpg/0.85/900/s3/Tt	4647932709333605949	536.7716670007864
r38/cpg/0.85/900/s3/pt	4693126616173363032	568037.3963756366
r38/cpg/0.85/900/s4/Tt	4651127699538968576	900.0
r38/cpg/0.85/900/s4/pt	4692931440010135964	545315.9005206111
r38/cpg/0.85/900/s45/Tt	4649840440615255304	753.6556036341071
r38/cpg/0.85/900/s45/pt	4687306446936416977	234764.130392334
r38/cpg/0.85/900/s5/Tt	4649347963078442296	697.6673898249055
r38/cpg/0.85/900/s5/pt	4684793332562609735	161622.87573866753
r38/cpg/0.85/900/s9/Tt	4649347963078442296	697.6673898249055
r38/cpg/0.85/900/s9/pt	4684682266168116447	158390.41822389417
r38/cpg/0.85/900/s4/far	4579204296328176800	0.013965694134343842
r38/cpg/0.85/1100/abort	0	0.0
r38/cpg/0.85/1100/n_pass	4620693217682128896	8.0
r38/cpg/0.85/1100/pi_lpc	4612350276128657336	2.294989677693561
r38/cpg/0.85/1100/pi_hpc	4616646706951019575	4.405976493543725
r38/cpg/0.85/1100/tau_lpc	4608522920292250039	1.2976511242442095
r38/cpg/0.85/1100/tau_hpc	4609882574698307263	1.5995550496717639
r38/cpg/0.85/1100/tau_hpt	4605717804202370306	0.8373951151490078
r38/cpg/0.85/1100/pi_hpt	4601427004634511389	0.4305103338600718
