# slice S oracle (gas) — rungs 43+45 TwoSpoolFuelTransient — key	u64 bits (or an integer)	repr
T/reacting/1/eqf/Phi_lp	4413609988935554040	1.1576574779234076e-13
T/reacting/1/eqf/Pt_hp	4688637006290249755	284833.0084778086
T/reacting/1/eqf/Pt_lp	4682265465281326684	109562.12748354062
T/reacting/1/eqf/Tt2	4643745586963694955	286.3754828060834
T/reacting/1/eqf/Tt25	4645657334204942009	395.0457319962839
T/reacting/1/eqf/Tt3	4649099752593604372	669.4491247143328
T/reacting/1/eqf/Tt4	4653872080561898351	1400.0000000001999
T/reacting/1/eqf/Tt45	4652866687241450674	1171.4000254639363
T/reacting/1/eqf/Tt5	4652471880382598320	1081.6313388764793
T/reacting/1/eqf/branch_choked	1	1
T/reacting/1/eqf/eta_hpc	4606100255269041248	0.8798557131500608
T/reacting/1/eqf/eta_hpt	4606461842859638129	0.92
T/reacting/1/eqf/eta_lpc	4606276554964911506	0.8994289113090181
T/reacting/1/eqf/eta_lpt	4606281698874543309	0.9
T/reacting/1/eqf/f	4581850056782075197	0.02148571381106489
T/reacting/1/eqf/m_hp	4606803777805276898	0.9579624049572113
T/reacting/1/eqf/m_imp	4606321248549718049	0.9043908959995443
T/reacting/1/eqf/m_lp	4606321248549718105	0.9043908959995505
T/reacting/1/eqf/mdot4	4606496271797604115	0.9238223799643229
T/reacting/1/eqf/mdot_air	4606321248549718048	0.9043908959995441
T/reacting/1/eqf/mdot_air_face	4606321248549718105	0.9043908959995505
T/reacting/1/eqf/n_hp	4606916176306034217	0.9704411453046237
T/reacting/1/eqf/n_lp	4606722474417233490	0.9489359156186288
T/reacting/1/eqf/nu_hp	4606826891331444533	0.9605285218503697
T/reacting/1/eqf/nu_hpt	4607130550640828626	0.9942414775423691
T/reacting/1/eqf/nu_lp	4606722474417233490	0.9489359156186288
T/reacting/1/eqf/nu_lpt	4607035773511454738	0.9837191024184924
T/reacting/1/eqf/phi_hp	4607066596731568283	0.987141167284807
T/reacting/1/eqf/phi_lp	4606759602189420666	0.9530579263721528
T/reacting/1/eqf/pi_hpc	4617976357626030255	5.5869435288279155
T/reacting/1/eqf/pi_hpt	4601467073491879281	0.43273460226108457
T/reacting/1/eqf/pi_lpc	4613494895868379860	2.803302953485721
T/reacting/1/eqf/pi_lpt	4604373094667333030	0.6881023664258705
T/reacting/1/eqf/pt4	4697778650799207877	1170635.008986817
T/reacting/1/eqf/slip	4607073711029414310	0.9879310130120771
T/reacting/1/eqf/sp_thrust	4649136117548636234	673.583341455794
T/reacting/1/eqf/tau_hpc	4610310671853023002	1.6946117132601501
T/reacting/1/eqf/tau_hpt	4605711671999819873	0.8367143039026922
T/reacting/1/eqf/tau_lpc	4608891389445701639	1.3794677118494307
T/reacting/1/eqf/tau_lpt	4606492164037038906	0.9233663269284087
T/reacting/1/eqf/passes	3	3
T/reacting/2/mf	4581898676346521963	0.021654396810740034
T/reacting/2/eqf/M9	4607182418800016925	0.9999999999999464
T/reacting/2/eqf/Pc_hp	4688817273356487936	295325.9327432662
T/reacting/2/eqf/Pc_lp	4682550617176445788	113711.63368852198
T/reacting/2/eqf/Phi_hp	4403708058034642824	2.5858297923933683e-14
T/reacting/2/eqf/Phi_lp	13648672241843022977	-7.339784548436931e-13
