# slice R oracle (equil) — rungs 40+44 TwoSpoolTransient — key	u64 bits (or an integer)	repr
P/flat/1450/phi_hp	4607095996273043645	0.990405172070744
P/flat/1450/phi_lp	4606901249610429913	0.9687839491904767
P/flat/1450/pi_hpc	4618208598853532026	5.793215175259656
P/flat/1450/pi_hpt	4601473739543068845	0.43310464243678376
P/flat/1450/pi_lpc	4613714876239079277	2.900993862492149
P/flat/1450/pi_lpt	4604375745067587142	0.6883966199645293
P/flat/1450/pt4	4698145961705552330	1256156.2437320822
P/flat/1450/slip	4607171206091805069	0.9987551393174258
P/flat/1450/sp_thrust	4649385064681226395	701.8853537198332
P/flat/1450/tau_hpc	4610387275657610348	1.7116211747855017
P/flat/1450/tau_hpt	4605723220204454344	0.8379964121705195
P/flat/1450/tau_lpc	4608955668158329093	1.3937404531998834
P/flat/1450/tau_lpt	4606498193859130992	0.9240357716605114
P/flat/1450/exit_noise	1	1
P/flat/1450/passes	80	80
P/flat/1450/powers_calls	240	240
P/flat/1400/M9	4607182418800017365	0.9999999999999952
P/flat/1400/Pc_hp	4688636973819860267	284831.11845238757
P/flat/1400/Pc_lp	4682265415215060288	109561.39892347623
P/flat/1400/Phi_hp	4391249670507041766	3.742066975966889e-15
P/flat/1400/Phi_lp	4393556105653436021	5.561523493385018e-15
P/flat/1400/Pt_hp	4688636973819860288	284831.1184523888
P/flat/1400/Pt_lp	4682265415215060336	109561.39892347693
P/flat/1400/Tt2	4643745586963694955	286.3754828060834
P/flat/1400/Tt25	4645657321575121731	395.0450140741197
P/flat/1400/Tt3	4649099730983446638	669.4466679238374
P/flat/1400/Tt4	4653872080561897472	1400.0
P/flat/1400/Tt45	4652866698617594856	1171.4026120996514
P/flat/1400/Tt5	4652471896336043356	1081.634966269913
P/flat/1400/branch_choked	1	1
P/flat/1400/eta_hpc	4606101554889448489	0.88
P/flat/1400/eta_hpt	4606461842859638129	0.92
P/flat/1400/eta_lpc	4606281698874543309	0.9
P/flat/1400/eta_lpt	4606281698874543309	0.9
P/flat/1400/f	4581850517373207948	0.02148731180756651
P/flat/1400/m_hp	4606805690262199300	0.9581747303280967
P/flat/1400/m_imp	4606327635963803689	0.9051000414181135
P/flat/1400/m_lp	4606327635963803689	0.9051000414181135
P/flat/1400/mdot4	4606502809477373708	0.9245482082251057
P/flat/1400/mdot_air	4606327635963803688	0.9051000414181134
P/flat/1400/n_hp	4606972104359494473	0.976650406572028
P/flat/1400/n_lp	4606860813080722939	0.9642945925588146
P/flat/1400/nu_hp	4606882240193077915	0.966673479907587
P/flat/1400/nu_hpt	4607185130477794839	1.0006021134207737
P/flat/1400/nu_lp	4606860813080722939	0.9642945925588146
P/flat/1400/nu_lpt	4607179182998914855	0.9996407539112838
P/flat/1400/phi_hp	4607012026102512398	0.9810826104001948
P/flat/1400/phi_lp	4606629499473253963	0.9386136232666983
P/flat/1400/pi_hpc	4617977728949045478	5.588161508336475
P/flat/1400/pi_hpt	4601467152110684241	0.4327389664814563
P/flat/1400/pi_lpc	4613498439928682538	2.8048768324251983
P/flat/1400/pi_lpt	4604373126456515774	0.6881058957341322
P/flat/1400/pt4	4697782570323323183	1171547.5943094005
P/flat/1400/slip	4607160252977947867	0.9975390993978651
P/flat/1400/sp_thrust	4649137023622059956	673.6863500780805
P/flat/1400/tau_hpc	4610310657714572021	1.6946085738933878
P/flat/1400/tau_hpt	4605711688641494724	0.836716151499751
