# phase-2 cycle oracle — key	u64 bits	repr
# cpython 3.14.3
r3_ideal/st3/mdot	4607182418800017408	1.0
r3_ideal/st3/far	0	0.0
r3_ideal/st4/Tt	4654311885213007872	1500.0
r3_ideal/st4/pt	4695142050327884362	802664.8120952335
r3_ideal/st4/mdot	4607307923964471987	1.027867744657368
r3_ideal/st4/far	4583689551933516982	0.027867744657368042
r3_ideal/st5/Tt	4653407898319236437	1294.4571774106782
r3_ideal/st5/pt	4690949061551278910	419412.33712499205
r3_ideal/st5/mdot	4607307923964471987	1.027867744657368
r3_ideal/st5/far	4583689551933516982	0.027867744657368042
r3_ideal/st9/Tt	4653407898319236437	1294.4571774106782
r3_ideal/st9/pt	4690949061551278910	419412.33712499205
r3_ideal/st9/mdot	4607307923964471987	1.027867744657368
r3_ideal/st9/far	4583689551933516982	0.027867744657368042
r3_ideal/V0	4643453651052699634	269.7808475368648
r3_ideal/V9	4652617977039371590	1114.849872696986
r3_ideal/M9	4611779639919446452	2.0415762944332645
r3_ideal/T9	4650047423416099169	777.1868237248092
r3_ideal/p9	4677104761256804352	50000.0
r3_ideal/F	4650917801685052611	876.1373767437402
r3_ideal/tsfc	4539818784109118348	3.180750576004592e-05
r3_ideal/eta_brayton	4602282045816692546	0.4779746542330835
r3_ideal/eta_thermal	4602724150495574235	0.5050327878450632
r3_ideal/eta_propulsive	4600740293425546496	0.39239020408702174
r3_ideal/eta_overall	4596307844066395949	0.19816991869316194
r3_lossy/st0/Tt	4643745586963694955	286.3754828060834
r3_lossy/st0/pt	4680252283798733269	80266.48120952335
r3_lossy/st0/mdot	4607182418800017408	1.0
r3_lossy/st0/far	0	0.0
r3_lossy/st2/Tt	4643745586963694955	286.3754828060834
r3_lossy/st2/pt	4679976490269325348	76253.15714904718
r3_lossy/st2/mdot	4607182418800017408	1.0
r3_lossy/st2/far	0	0.0
r3_lossy/st3/Tt	4648343779432381839	583.5049266125296
r3_lossy/st3/pt	4694797308416124461	762531.5714904718
r3_lossy/st3/mdot	4607182418800017408	1.0
r3_lossy/st3/far	0	0.0
r3_lossy/st4/Tt	4654311885213007872	1500.0
r3_lossy/st4/pt	4694469803599952554	724404.9929159482
r3_lossy/st4/mdot	4607305210570929501	1.0272652502602206
r3_lossy/st4/far	4583515894746797883	0.027265250260220624
r3_lossy/st5/Tt	4653271803104197884	1263.5127081571254
r3_lossy/st5/pt	4689080597442973737	310653.4118797803
r3_lossy/st5/mdot	4607305210570929501	1.0272652502602206
r3_lossy/st5/far	4583515894746797883	0.027265250260220624
r3_lossy/st9/Tt	4653271803104197884	1263.5127081571254
r3_lossy/st9/pt	4688973857743420579	304440.3436421847
r3_lossy/st9/mdot	4607305210570929501	1.0272652502602206
r3_lossy/st9/far	4583515894746797883	0.027265250260220624
r3_lossy/V0	4643453651052699634	269.7808475368648
r3_lossy/V9	4652257818148480601	1032.9592219315439
r3_lossy/M9	4610985902930284784	1.8445431310438458
r3_lossy/T9	4650426132694337320	820.2410839835402
r3_lossy/p9	4677104761256804352	50000.0
r3_lossy/F	4650171936003907253	791.3422660892453
r3_lossy/tsfc	4540209401842916956	3.4454434482519765e-05
r3_lossy/eta_brayton	4602761820245208808	0.50921497018268
r3_lossy/eta_thermal	4601570143842637868	0.4384561560895033
