# phase-5J component-map matcher oracle — key	u64 bits	repr
# pypy 3.11.15
map/gate5/eta_c/6/6	4606091419538487091	0.8788747499999999
map/gate5/eta_c/6/7	4605939423051063337	0.86199975
map/gate5/eta_c/7/0	4605875249008173122	0.854875
map/gate5/eta_c/7/1	4606023867795876348	0.871375
map/gate5/eta_c/7/2	4606085792290752692	0.87825
map/gate5/eta_c/7/3	4606095745245929181	0.879355
map/gate5/eta_c/7/4	4606095925389914276	0.879375
map/gate5/eta_c/7/5	4606095745245929181	0.879355
map/gate5/eta_c/7/6	4606085792290752692	0.87825
map/gate5/eta_c/7/7	4605933795803328938	0.861375
map/gate5/eta_c/8/0	4605678216524475663	0.8330000000000001
map/gate5/eta_c/8/1	4605826835312178889	0.8495
map/gate5/eta_c/8/2	4605888759807055233	0.856375
map/gate5/eta_c/8/3	4605898712762231722	0.85748
map/gate5/eta_c/8/4	4605898892906216817	0.8575
map/gate5/eta_c/8/5	4605898712762231722	0.85748
map/gate5/eta_c/8/6	4605888759807055233	0.856375
map/gate5/eta_c/8/7	4605736763319631479	0.8395
map/gate5/eta_c/9/0	4604056920658622284	0.653
map/gate5/eta_c/9/1	4604205539446325510	0.6695
map/gate5/eta_c/9/2	4604267463941201854	0.676375
map/gate5/eta_c/9/3	4604277416896378343	0.67748
map/gate5/eta_c/9/4	4604277597040363438	0.6775
map/gate5/eta_c/9/5	4604277416896378343	0.67748
map/gate5/eta_c/9/6	4604267463941201854	0.676375
map/gate5/eta_c/9/7	4604115467453778100	0.6595
map/gate5/eta_t/0	4604660403008689930	0.72
map/gate5/eta_t/1	4606000223897832653	0.86875
map/gate5/eta_t/2	4606270439875474883	0.89875
map/gate5/eta_t/3	4606281698874543309	0.9
map/gate5/eta_t/4	4606270439875474883	0.89875
map/gate5/eta_t/5	4605561122934164030	0.8200000000000001
map/sig1/psi/0	4600156803381319432	0.3599999999999999
map/sig1/psi/1	4605358460950932358	0.7975000000000001
map/sig1/psi/2	4606822130829827768	0.96
map/sig1/psi/3	4607159900801880555	0.9974999999999999
map/sig1/psi/4	4607182409792818153	0.999999
map/sig1/psi/5	4607182418800017408	1.0
map/sig1/psi/6	4607182409792818153	0.999999
map/sig1/psi/7	4607159900801880555	0.9974999999999999
map/sig1/psi/8	4606371770867090718	0.9099999999999999
map/sig1/psi/9	4596013491724138584	0.19000000000000017
map/sig1/eta_c/0/0	4606101554889448489	0.88
map/sig1/eta_c/0/1	4606101554889448489	0.88
map/sig1/eta_c/0/2	4606101554889448489	0.88
map/sig1/eta_c/0/3	4606101554889448489	0.88
map/sig1/eta_c/0/4	4606101554889448489	0.88
