# phase-6P spool-transient oracle — key	u64 bits (or an integer)	repr
# pypy 3.11.15
eq/press_dom/700/tau_t	4605552600047405379	0.8190537694884273
eq/press_dom/700/Tt3	4646169403667258190	424.1535109285513
eq/press_dom/700/Tt5	4648254347021608597	573.3376386418992
eq/press_dom/700/flowcoef	4604859177093386041	0.7420683565528413
eq/press_dom/700/Phi	13596016385360669345	-2.1339450669422484e-16
eq/press_dom/700/sp_thrust	4641320520741818076	202.2632138953694
eq/press_dom/700/M9	4607182418800017722	1.0000000000000697
eq/press_dom/700/pt9_over_p0	4611877509826101113	2.0850392639476323
eq/press_dom/700/eta_c	4605896067113927819	0.8571862740337947
eq/press_dom/700/eta_t	4606281690267893744	0.8999990444699488
eq/press_dom/700/nu_t	4607213547927766031	1.0069120548726038
eq/press_dom/700/p_net_spec	13679683868137881600	-8.731149137020111e-11
eq/press_dom/700/m	4602772792333724021	0.5104331167124615
eq/press_dom/700/thrust	4636965415751786332	103.24184266489232
eq/press_dom/700/Tt2	4643745586963694955	286.3754828060834
eq/press_dom/700/pt2	4680086807681088516	77858.48677323764
eq/press_dom/700/V0	4643453651052699634	269.7808475368648
eq/press_dom/520/branch	1	1
eq/press_dom/520/nu	4603419441635936463	0.5822256111298659
eq/press_dom/520/n	4603419441635936463	0.5822256111298659
eq/press_dom/520/pi_c	4612689295980440987	2.445544735795648
eq/press_dom/520/tau_c	4608735515379279746	1.3448567163527234
eq/press_dom/520/mdot_air	4601485812056954142	0.43377480158081194
eq/press_dom/520/f	4570275409503183025	0.003525386136171781
eq/press_dom/520/pi_t	4601508632845844413	0.4350416098441164
eq/press_dom/520/tau_t	4605549794535134188	0.8187422950564929
eq/press_dom/520/Tt3	4645482965021236864	385.13399145051517
eq/press_dom/520/Tt5	4646197418915685180	425.7459934293763
eq/press_dom/520/flowcoef	4604885841673255308	0.745028719604123
eq/press_dom/520/Phi	4422660268017263858	4.674129420556853e-13
eq/press_dom/520/sp_thrust	4632368590435974264	50.958512975362225
eq/press_dom/520/M9	4605625292098073102	0.8271242083242798
eq/press_dom/520/pt9_over_p0	4609698210368160201	1.5586179448219915
eq/press_dom/520/eta_c	4605757861731910331	0.8418423943095016
eq/press_dom/520/eta_t	4606281676522889710	0.8999975184679536
eq/press_dom/520/nu_t	4607082087898088610	0.988861032259724
eq/press_dom/520/p_net_spec	4506292331346919424	1.904845703393221e-07
eq/press_dom/520/m	4601485812056954143	0.433774801580812
