# phase-3B finite-quench oracle — key	u64 bits	repr
# cpython 3.14.3
traj/dp1/0.8/32/ntot_local	4607308819274755890	1.0280665434756426
traj/dp1/0.8/32/V	4580657410991113051	0.017347892506850964
traj/dp1/0.8/argmax_i	0	0.0
traj/dp1/0.8/T_peak	4657110208835488768	2224.5302542462014
traj/dp1/0.8/T_end	4654386389652764672	1516.9403483043425
traj/dp1/1.0/T_p	4657587419159994368	2441.540385130793
traj/dp1/1.0/alpha	4600906297842507545	0.4016053003820033
traj/dp1/1.0/n0	4558157863995931677	0.0005441221176275577
traj/dp1/1.0/ei9	4626531901667095069	20.74317245958274
traj/dp1/1.0/0/a	4600906297842507545	0.4016053003820033
traj/dp1/1.0/0/T	4657587419159968768	2441.5403851191513
traj/dp1/1.0/0/cO	4578166031297940196	0.012164591412106636
traj/dp1/1.0/0/cN2	4628189584740489132	26.632445789545883
traj/dp1/1.0/0/cH	4578547371475894227	0.012826111171136667
