# slice R oracle (cpython) — rungs 40+44 TwoSpoolTransient — key	u64 bits (or an integer)	repr
G/r44/56/Tt4	4653872080561897472	1400.0
G/r44/56/slip	4607336246813979912	1.0341566805867064
G/r44/56/pi_lpc	4612993382436890924	2.580586249966606
G/r44/56/pi_hpc	4617355930327787900	5.035893391536202
G/r44/56/phi_lp	4605514069691160714	0.8147760406234437
G/r44/56/phi_hp	4606597371985954723	0.9350467556544014
G/r44/56/mdot_air	4604916071841553573	0.7483849424924257
G/r44/56/f	4583386074856466002	0.026814847037405727
G/r44/56/Phi_lp	4589850213784677525	0.07196733655557559
G/r44/56/Phi_hp	4590264368902776431	0.07771489340407255
G/r44/56/sp_thrust	4648968761616434798	654.5571747498595
G/r44/57/s	4607812922747849280	1.1400000000000006
G/r44/57/nu_lp	4606461268316775240	0.9199362129284987
G/r44/57/nu_hp	4606189089431692821	0.8897182864249681
G/r44/57/Tt4	4653872080561897472	1400.0
G/r44/57/slip	4607335376702105763	1.0339634769393704
G/r44/57/pi_lpc	4613008329727748139	2.5872241805527856
G/r44/57/pi_hpc	4617368091552673287	5.046694729036523
G/r44/57/phi_lp	4605537509872417329	0.8173784235166918
G/r44/57/phi_hp	4606607717956227927	0.9361953890953413
G/r44/57/mdot_air	4604948057027306543	0.7519360114594117
G/r44/57/f	4583379496603091430	0.02679202413628614
G/r44/57/Phi_lp	4589711788858324641	0.07004630480033792
G/r44/57/Phi_hp	4590157175582576230	0.07622728725191905
G/r44/57/sp_thrust	4648974867826947426	655.2513705135027
G/r44/58/s	4607902994740396690	1.1600000000000006
G/r44/58/nu_lp	4606473716493461206	0.9213182381656349
G/r44/58/nu_hp	4606202688728128906	0.8912281116271725
G/r44/58/Tt4	4653872080561897472	1400.0
G/r44/58/slip	4607334471771527400	1.0337625419866132
G/r44/58/pi_lpc	4613022925104041343	2.593705829678299
G/r44/58/pi_hpc	4617380045465630154	5.057311936555786
G/r44/58/phi_lp	4605560547674029222	0.8199361332953188
G/r44/58/phi_hp	4606617856991552308	0.9373210481418028
G/r44/58/mdot_air	4604979457045134054	0.755422113735986
G/r44/58/f	4583373059360588558	0.026769690464905564
G/r44/58/Phi_lp	4589576040005632177	0.06816241102751765
G/r44/58/Phi_hp	4590051328788581865	0.0747583679047278
G/r44/58/sp_thrust	4648980805219479091	655.9263738947396
G/r44/59/s	4607993066732944100	1.1800000000000006
G/r44/59/nu_lp	4606485828643546263	0.9226629569558494
G/r44/59/nu_hp	4606216025108398232	0.8927087472711888
G/r44/59/Tt4	4653872080561897472	1400.0
G/r44/59/slip	4607333533895491021	1.0335542916726468
G/r44/59/pi_lpc	4613037172630374965	2.600033002390115
G/r44/59/pi_hpc	4617391794606667376	5.06774727007506
G/r44/59/phi_lp	4605583185378624411	0.8224494233819429
G/r44/59/phi_hp	4606627792274174363	0.9384240860941192
G/r44/59/mdot_air	4605010275206101179	0.7588436169242166
G/r44/59/f	4583366761149485851	0.026747839155592517
