# slice U oracle (cpython) - rungs 49+50+51+52 readers - key	u64 bits (or an integer)	repr
B/g3g4_r2/5/nu_hp_end	4606802791961979945	0.9578529543645163
B/g3g4_r2/5/nu_hp_end_bare	4606811202852586238	0.9587867508053873
B/g3g4_r2/5/s_off/is_none	0	0
B/g3g4_r2/5/s_off	4611821126416209019	2.06
B/g3g4_r2/5/tau_rel/is_none	1	1
B/g3g4_r2/5/phi_lim/is_none	0	0
B/g3g4_r2/5/phi_lim	4605133280969563832	0.7725
B/g3g4_r2/5/margin/is_none	1	1
B/g3g4_r2/5/relief_watched/is_none	0	0
B/g3g4_r2/5/relief_watched	13798957044816812672	-0.007749864819635577
B/g3g4_r2/5/relief_other/is_none	0	0
B/g3g4_r2/5/relief_other	13812109648429016992	-0.05951343958231736
B/g3g4_r2/5/n_engaged	102	102
B/g3g4_r2/5/spool	1	'lp'
B/g3g4_r2/5/s_eng	4581421828931458171	0.02
B/g3g4_r2/5/s_rel	4611776090419935317	2.0400000000000014
B/g3g4_r2/6/r	4611686018427387904	2.0
B/g3g4_r2/6/rho	4607182418800017408	1.0
B/g3g4_r2/6/ds	4581421828931458171	0.02
B/g3g4_r2/6/deficit_at_release	4583860604939926744	0.028461203989078893
B/g3g4_r2/6/s_lp_bare	4599436227440940155	0.32
B/g3g4_r2/6/s_hp_bare	4603939827068310653	0.6400000000000002
B/g3g4_r2/6/relief_lp	4577818675751009024	0.011562025590334368
B/g3g4_r2/6/relief_hp	13809684709687646624	-0.04268704693247405
B/g3g4_r2/6/s_min_lp	4607993066732944100	1.1800000000000006
B/g3g4_r2/6/s_min_hp	4611911198408756432	2.1000000000000014
B/g3g4_r2/6/min_phi_lp_bare	4605029139501283261	0.7609379744096639
B/g3g4_r2/6/min_phi_lp_lim	4605133280969563817	0.7724999999999983
B/g3g4_r2/6/min_phi_hp_bare	4606377970296798692	0.9106882749601337
B/g3g4_r2/6/min_phi_hp_lim	4605993479559481418	0.8680012280276597
B/g3g4_r2/6/fuel_removed	4577555174181587602	0.011104923231902295
B/g3g4_r2/6/nu_hp_end	4606802560714310133	0.9578272807157747
B/g3g4_r2/6/nu_hp_end_bare	4606811202852586238	0.9587867508053873
B/g3g4_r2/6/s_off/is_none	0	0
B/g3g4_r2/6/s_off	4612136378390124954	2.2
B/g3g4_r2/6/tau_rel/is_none	1	1
B/g3g4_r2/6/phi_lim/is_none	0	0
B/g3g4_r2/6/phi_lim	4605133280969563832	0.7725
B/g3g4_r2/6/margin/is_none	1	1
B/g3g4_r2/6/relief_watched/is_none	0	0
B/g3g4_r2/6/relief_watched	4577818675751009024	0.011562025590334368
B/g3g4_r2/6/relief_other/is_none	0	0
B/g3g4_r2/6/relief_other	13809684709687646624	-0.04268704693247405
B/g3g4_r2/6/n_engaged	105	105
B/g3g4_r2/6/spool	1	'lp'
B/g3g4_r2/6/s_eng	4581421828931458171	0.02
B/g3g4_r2/6/s_rel	4611911198408756432	2.1000000000000014
B/g5_early/0/r	4602678819172646912	0.5
B/g5_early/0/rho	4607182418800017408	1.0
B/g5_early/0/ds	4581421828931458171	0.02
B/g5_early/0/deficit_at_release	4584072996020743463	0.029198083577040592
B/g5_early/0/s_lp_bare	4597814931575086775	0.23999999999999996
B/g5_early/0/s_hp_bare	4600877379321698715	0.4000000000000001
B/g5_early/0/relief_lp	13781644563001822208	-0.0005565538129616021
B/g5_early/0/relief_hp	13777747139250149376	-0.0003111377665477866
B/g5_early/0/s_min_lp	4597814931575086775	0.23999999999999996
B/g5_early/0/s_min_hp	4600877379321698715	0.4000000000000001
B/g5_early/0/min_phi_lp_bare	4604799708185174898	0.7354659814383082
B/g5_early/0/min_phi_lp_lim	4604794695194085567	0.7349094276253466
B/g5_early/0/min_phi_hp_bare	4605932210771652934	0.861199026133854
B/g5_early/0/min_phi_hp_lim	4605929408291793963	0.8608878883673062
B/g5_early/0/fuel_removed	4531918115448001270	9.826412179900109e-06
B/g5_early/0/nu_hp_end	4606805117707858685	0.9581111640269168
B/g5_early/0/nu_hp_end_bare	4606805133596097078	0.9581129279757252
B/g5_early/0/s_off/is_none	0	0
B/g5_early/0/s_off	4594932627813569659	0.16
B/g5_early/0/tau_rel/is_none	1	1
B/g5_early/0/phi_lim/is_none	0	0
B/g5_early/0/phi_lim	4604885582990058455	0.745
B/g5_early/0/margin/is_none	1	1
B/g5_early/0/relief_watched/is_none	0	0
B/g5_early/0/relief_watched	13781644563001822208	-0.0005565538129616021
B/g5_early/0/relief_other/is_none	0	0
B/g5_early/0/relief_other	13777747139250149376	-0.0003111377665477866
B/g5_early/0/n_engaged	2	2
B/g5_early/0/spool	1	'lp'
B/g5_early/0/s_eng	4593311331947716281	0.12000000000000001
B/g5_early/0/s_rel	4594212051873190380	0.14
B/g5_early/1/r	4602678819172646912	0.5
B/g5_early/1/rho	4607182418800017408	1.0
B/g5_early/1/ds	4581421828931458171	0.02
